model,subsystem,version_major,version_minor,version_patch,human_readable,file_path,file_size,file_crc32
evk,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
evk,zed-f9p,1,51,0,v1.51,\gnss\zed-f9p\UBX_F9_100_HPG151_ZED_F9P.6c43b30ccfed539322eccedfb96ad933.bin,,
fp,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
fp,zed-x20p,2,2,0,v2.02,\gnss\zed-x20p\UBX_20_HPG_202_ZED_F20P.329facb56ce18631d607fe15177834dc.bin,1095012,90e54861
fp,lg290p,2,1,0,v2.1,\gnss\lg290p\LG290P03AANR02A01S.pkg,,
fp,um980,17548,0,0,v17548,\gnss\um980\UM980_R4.10Build17548.pkg,,
fp,mosaic-x5,4,14,10.1,v4.14.10.1,\gnss\mosaic-x5\mosaic-X5-4.14.10.1.suf,,
fp,lora,3,0,1,v3.0.1,\lora\stm32wl\SparkPNT_LoRa_3.0.1.hex,224012,3de5977a
fp,im19,11,1,0,v11.1,\imu\im19\20260302210315_VH2_B2.2_A11.1_6bf04becee0bda310e65d.enc,,
tx2,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
tx2,lg290p,2,1,0,v2.1,\gnss\lg290p\LG290P03AANR02A01S.pkg,,
torch,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
torch,um980,17548,0,0,v17548,\gnss\um980\UM980_R4.10Build17548.pkg,,
torch,im19,11,1,0,v11.1,\imu\im19\20260302210315_VH2_B2.2_A11.1_6bf04becee0bda310e65d.enc,,
torch,lora,3,0,1,v3.0.1,\lora\stm32wl\SparkPNT_LoRa_3.0.1.hex,,
postcard,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
postcard,lg290p,2,1,0,v2.1,\gnss\lg290p\LG290P03AANR02A01S.pkg,,
facet_mosaic,esp,3,3,0,v3.3,\RTK_Everywhere_Firmware_v3_3.bin,3236512,6979f191
facet_mosaic,mosaic-x5,4,14,10.1,v4.14.10.1,\gnss\mosaic-x5\mosaic-X5-4.14.10.1.suf,,
