model,subsystem,chip,version_major,version_minor,version_patch,version_revision,release_candidate,file_name,file_bytes,file_crc32
#
# List retired products first with all firmware components
# Treat RC request as latest if RC is not found for subsystem
# Product release firmware always matches the first entry for each subsystem
# Forced and latest updates always match the subsystem wildcard entry
#
# Retired products firmware
#
# Latest product firmware
#
*,ESP32,ESP32,3,3,0,0,0,RTK_Everywhere_Firmware_v3_3.bin,3236512,0x6979f191
*,GNSS,LG290P,2,1,0,0,0,LG290P03AANR02A01S.pkg,2688712,0xb852abe9
*,GNSS,Mosaic-X5,4,14,10,1,0,mosaic-X5-4.14.10.1.suf,22829643,0xce009b8f
*,GNSS,UM980,17548,0,0,0,0,UM980_R4.10Build17548.pkg,2969008,0x48e12aa0
*,GNSS,ZED-F9P,1,51,0,0,0,UBX_F9_100_HPG151_ZED_F9P.6c43b30ccfed539322eccedfb96ad933.bin,1354632,0xf2fe231a
*,GNSS,ZED-X20P,2,10,0,0,0,UBX_20_HPG_210_ZED_X20P-01B.512369040097ce18fd3475e71e7c627f.bin,1161860,0x87d9de3f
*,IMU,IM19,11,1,0,0,0,20260522185649_VH2_B2.2_A11.4.1_131b44ecee0bdad5670c7.enc,260128,0x30ad8ea6
*,LoRa,LoRa-STM32WL,3,0,1,0,0,SparkPNT_LoRa_3.0.1.bin,81424,0xaa992f57
#
# Release Candidate (RC) firmware
#
*,ESP32,ESP32,3,4,0,0,1,RTK_Everywhere_Firmware_RC-Jun_25_2026.bin,3312592,0x9c35da3e
